Date,Stream,Site,Timed Sample,Species,Total Specimens,Area Sampled,Specimens/m^2,,Site ,Species,Timed 1 count,Timed 2 count,Mean Count,SD,SE
2022,Cave Creek,Site 9,1,hellgrammite,28,17.35,1.614,,Site 9,hellgrammite,28,11,19.5,12.02081528,8.5
2022,Cave Creek,Site 9,1,oplonaeschna,2,17.35,0.115,,Site 9,oplonaeschna,2,1,1.5,0.707106781,0.5
2022,Cave Creek,Site 9,1,belostomatid,1,17.35,0.058,,Site 9,damselfly,4,10,7,4.242640687,3
2022,Cave Creek,Site 9,1,damselfly,4,17.35,0.231,,Site 9,RRS,0,3,1.5,2.121320344,1.5
2022,Cave Creek,Site 9,1,RRS,0,17.35,0.000,,Herb Matyr,hellgrammite,10,10,10,0,0
2022,Cave Creek,Site 9,1,predatory beetles,10,17.35,0.576,,Herb Matyr,oplonaeschna,3,1,2,1.414213562,1
2022,Cave Creek,Site 9 ,1,water fleas,5,17.35,0.288,,Herb Matyr,damselfly,3,4,3.5,0.707106781,0.5
2022,Cave Creek,Site 9 ,1,caddisflies,0,17.35,0.000,,Herb Matyr,RRS,3,1,2,1.414213562,1
2022,Cave Creek,Site 9,2,hellgrammite,11,16.45,0.669,,John Hands,hellgrammite,11,5,8,4.242640687,3
2022,Cave Creek,Site 9,2,oplonaeschna,1,16.45,0.061,,John Hands,oplonaeschna,1,1,1,0,0
2022,Cave Creek,Site 9,2,belostomatid,1,16.45,0.061,,John Hands,damselfly,2,1,1.5,0.707106781,0.5
2022,Cave Creek,Site 9,2,damselfly,10,16.45,0.608,,John Hands,RRS,0,0,0,0,0
2022,Cave Creek,Site 9,2,RRS,3,16.45,0.182,,Research Station,hellgrammite,7,7,7,0,0
2022,Cave Creek,Site 9,2,predatory beetles,30,16.45,1.824,,Research Station,oplonaeschna,0,0,0,0,0
2022,Cave Creek,Site 9,2,water fleas,10,16.45,0.608,,Research Station,damselfly,0,2,1,1.414213562,1
2022,Cave Creek,Site 9,2,caddisflies,5,16.45,0.304,,Research Station,RRS,8,8,8,0,0
2022,Cave Creek,Herb Martyr,1,hellgrammite,10,24.2,0.413,,,,,,,,
2022,Cave Creek,Herb Martyr,1,oplonaeschna,3,24.2,0.124,,,,,,,,
2022,Cave Creek,Herb Martyr,1,belostomatid,2,24.2,0.083,,,,,,,,
2022,Cave Creek,Herb Martyr,1,damselfly,3,24.2,0.124,,,,,,,,
2022,Cave Creek,Herb Martyr,1,RRS,3,24.2,0.124,,,,,,,,
2022,Cave Creek,Herb Martyr,1,predatory beetles,8,24.2,0.331,,,,,,,,
2022,Cave Creek,Herb Martyr,1,water fleas,5,24.2,0.207,,,,,,,,
2022,Cave Creek,Herb Martyr,1,caddisflies,10,24.2,0.413,,,,,,,,
2022,Cave Creek,Herb Martyr,2,hellgrammite,10,28.6,0.350,,,,,,,,
2022,Cave Creek,Herb Martyr,2,oplonaeschna,1,28.6,0.035,,,,,,,,
2022,Cave Creek,Herb Martyr,2,belostomatid,3,28.6,0.105,,,,,,,,
2022,Cave Creek,Herb Martyr,2,damselfly,4,28.6,0.140,,,,,,,,
2022,Cave Creek,Herb Martyr,2,RRS,1,28.6,0.035,,,,,,,,
2022,Cave Creek,Herb Martyr,2,predatory beetles,5,28.6,0.175,,,,,,,,
2022,Cave Creek,Herb Martyr,2,water fleas,10,28.6,0.350,,,,,,,,
2022,Cave Creek,Herb Martyr,2,caddisflies,25,28.6,0.874,,,,,,,,
2022,Cave Creek,John Hands,1,hellgrammite,11,23.05,0.477,,,,,,,,
2022,Cave Creek,John Hands,1,oplonaeschna,1,23.05,0.043,,,,,,,,
2022,Cave Creek,John Hands,1,belostomatid,1,23.05,0.043,,,,,,,,
2022,Cave Creek,John Hands,1,damselfly,2,23.05,0.087,,,,,,,,
2022,Cave Creek,John Hands,1,RRS,0,23.05,0.000,,,,,,,,
2022,Cave Creek,John Hands,1,predatory beetles,20,23.05,0.868,,,,,,,,
2022,Cave Creek,John Hands,1,water fleas,10,23.05,0.434,,,,,,,,
2022,Cave Creek,John Hands,1,caddisflies,5,23.05,0.217,,,,,,,,
2022,Cave Creek,John Hands,2,hellgrammite,5,21,0.238,,,,,,,,
2022,Cave Creek,John Hands,2,oplonaeschna,1,21,0.048,,,,,,,,
