Date,Stream,Site,Timed Sample,Species,Total Specimens,Area Sampled (m^2,Specimens/m^2,,
2013,Cave Creek,Research Station,1,hellgrammite,12,28,0.429,,
2013,Cave Creek,John Hands,1,hellgrammite,3,40,0.075,,
2013,Cave Creek,Herb Martyr,1,hellgrammite,10,20,0.500,,
2013,Cave Creek,Site 9,1,hellgrammite,14,27,0.519,,
2013,Cave Creek,Site 10,1,hellgrammite,2,24,0.083,,
2013,Cave Creek,Site 10,1,oplonaeschna,1,24,0.042,,
2015,Cave Creek,Research Station,1,hellgrammite,3,35,0.086,,
2015,Cave Creek,Research Station,1,oplonaeschna,1,35,0.029,,
2015,Cave Creek,John Hands,1,hellgrammite,3,38.5,0.078,,
2015,Cave Creek,Herb Martyr,1,hellgrammite,2,26.5,0.075,,
2015,Cave Creek,Site 10,1,hellgrammite,2,19,0.105,,
2015,East Turkey,Chellshack,1,hellgrammite,1,30,0.033,,
2015,East Turkey,Flintstone,1,hellgrammite,1,26,0.038,,
2015,West Turkey,Low Bridge,1,oplonaeschna,1,22.5,0.044,,
2015,West Turkey,White House,1,oplonaeschna,4,21,0.190,,
2015,West Turkey,Sycamore,1,hellgrammite,2,19,0.105,,
2015,West Turkey,End of Road,1,hellgrammite,7,19.5,0.359,,
2016,Cave Creek,Research Station,1,hellgrammite,15,36,0.417,,
2016,Cave Creek,John Hands,1,hellgrammite,5,33,0.152,,
2016,Cave Creek,Herb Martyr,1,hellgrammite,3,29.25,0.103,,
2016,Cave Creek,Herb Martyr,1,oplonaeschna,1,29.25,0.034,,
2016,Cave Creek,Site 10,1,hellgrammite,1,39,0.026,,
2016,Cave Creek,Site 10,1,oplonaeschna,4,39,0.103,,
2016,East Turkey,The Grade,1,oplonaeschna,2,25.5,0.078,,
2016,East Turkey,Flintstone,1,hellgrammite,1,22.25,0.045,,
2016,East Turkey,Flintstone,1,oplonaeschna,4,22.25,0.180,,
2016,West Turkey,Low Bridge,1,hellgrammite,2,36,0.056,,
2016,West Turkey,White House,1,oplonaeschna,1,33.9,0.029,,
2016,West Turkey,Sycamore,1,oplonaeschna,3,24,0.125,,
2016,West Turkey,Bear Sign,1,hellgrammite,5,21.75,0.230,,
2022,Cave Creek,Site 9,Timed 1,hellgrammite,28,17.35,1.614,,
2022,Cave Creek,Site 9,Timed 1,oplonaeschna,2,17.35,0.115,,
2022,Cave Creek,Site 9,Timed 1,bellastomata,1,17.35,0.058,,
2022,Cave Creek,Site 9,Timed 1,damselfly,4,17.35,0.231,,
2022,Cave Creek,Site 9,Timed 1,RRS,0,17.35,0.000,,
2022,Cave Creek,Site 9,Timed 1,predatory beetles,10,17.35,0.576,,
2022,Cave Creek,Site 9,Timed 1,water fleas,5,17.35,0.288,,
2022,Cave Creek,Site 9,Timed 1,caddisflies,0,17.35,0.000,,
