"","date","stream","site","timed_sample","species","total_specimens","area_sampled_m_2","specimens_m_2","altitude","area_sampled","x9","site_10","species_11","timed_1_count","timed_2_count","mean_count","sd","se","specimens_m_2_01","altitude_km"
"1",2013,"Cave Creek","Research Station",1,"hellgrammite",12,28,0.429,1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,1.615
"2",2013,"Cave Creek","John Hands",1,"hellgrammite",3,40,0.075,1715,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,1.715
"3",2013,"Cave Creek","Herb Martyr",1,"hellgrammite",10,20,0.5,1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501,1.76
"4",2013,"Cave Creek","Site 9",1,"hellgrammite",14,27,0.519,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,1.825
"5",2013,"Cave Creek","Site 10",1,"hellgrammite",2,24,0.083,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,1.9
"6",2013,"Cave Creek","Site 10",1,"oplonaeschna",1,24,0.042,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,1.9
"7",2015,"Cave Creek","Research Station",1,"hellgrammite",3,35,0.086,1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087,1.615
"8",2015,"Cave Creek","Research Station",1,"oplonaeschna",1,35,0.029,1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,1.615
"9",2015,"Cave Creek","John Hands",1,"hellgrammite",3,38.5,0.078,1715,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079,1.715
"10",2015,"Cave Creek","Herb Martyr",1,"hellgrammite",2,26.5,0.075,1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,1.76
"11",2015,"Cave Creek","Site 10",1,"hellgrammite",2,19,0.105,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,1.9
"12",2015,"East Turkey","Chellshack",1,"hellgrammite",1,30,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,NA
"13",2015,"East Turkey","Flintstone",1,"hellgrammite",1,26,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,NA
"14",2015,"West Turkey","Low Bridge",1,"oplonaeschna",1,22.5,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,NA
"15",2015,"West Turkey","White House",1,"oplonaeschna",4,21,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,NA
"16",2015,"West Turkey","Sycamore",1,"hellgrammite",2,19,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,NA
"17",2015,"West Turkey","End of Road",1,"hellgrammite",7,19.5,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA
"18",2016,"Cave Creek","Research Station",1,"hellgrammite",15,36,0.417,1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418,1.615
"19",2016,"Cave Creek","John Hands",1,"hellgrammite",5,33,0.152,1715,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153,1.715
"20",2016,"Cave Creek","Herb Martyr",1,"hellgrammite",3,29.25,0.103,1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,1.76
"21",2016,"Cave Creek","Herb Martyr",1,"oplonaeschna",1,29.25,0.034,1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,1.76
"22",2016,"Cave Creek","Site 10",1,"hellgrammite",1,39,0.026,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,1.9
"23",2016,"Cave Creek","Site 10",1,"oplonaeschna",4,39,0.103,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,1.9
"24",2016,"East Turkey","The Grade",1,"oplonaeschna",2,25.5,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079,NA
"25",2016,"East Turkey","Flintstone",1,"hellgrammite",1,22.25,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA
"26",2016,"East Turkey","Flintstone",1,"oplonaeschna",4,22.25,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181,NA
